rm_id,product_id,purchase_order_id,purchase_order_item_no,receival_item_no,batch_id,transporter_name,vehicle_no,unit_status,vehicle_start_weight,vehicle_end_weight,gross_weight,tare_weight,net_weight,wood,ironbands,plastic,water,ice,other,chips,packaging,cardboard
365,91900143.0,208545,10,1,,Transporter0,Vehicle0,Transferred,40040.0,14740.0,11540.0,120.0,11420.0,,,,,,,,,
365,91900143.0,208545,10,2,,Transporter0,Vehicle0,Transferred,40040.0,14740.0,13760.0,0.0,13760.0,,,,,,,,,
365,91900143.0,208490,10,1,,Transporter1,Vehicle1,Transferred,39940.0,15280.0,11577.0,296.0,11281.0,,,,,,,,,
365,91900143.0,208490,10,2,,Transporter1,Vehicle1,Transferred,39940.0,15280.0,13083.0,0.0,13083.0,,,,,,,,,
379,91900296.0,210435,20,1,,Transporter2,Vehicle2,Transferred,39360.0,15180.0,24180.0,270.0,23910.0,,,,,,,,,
389,91900330.0,208535,30,1,,Transporter3,Vehicle3,Transferred,22600.0,13920.0,8680.0,0.0,8680.0,,,,,,,,,
365,91900143.0,208532,10,1,,Transporter1,Vehicle4,Transferred,39080.0,14400.0,14840.0,0.0,14840.0,,,,,,,,,
369,91900146.0,208532,30,2,,Transporter1,Vehicle4,Transferred,39080.0,14400.0,6780.0,35.0,6745.0,,,,,,,,,
366,91900160.0,208532,20,3,,Transporter1,Vehicle4,Transferred,39080.0,14400.0,3060.0,45.0,3015.0,,,,,,,,,
365,91900143.0,208537,10,1,,Transporter4,Vehicle5,Transferred,40500.0,15440.0,25060.0,0.0,25060.0,,,,,,,,,
367,91900143.0,208547,10,1,,Transporter5,Vehicle6,Transferred,39280.0,17180.0,22100.0,0.0,22100.0,,,,,,,,,
367,91900143.0,208532,10,1,,Transporter1,Vehicle7,Transferred,31540.0,15220.0,16320.0,120.0,16200.0,120.0,,,,,,,,
367,91900143.0,208541,10,1,,Transporter6,Vehicle8,Transferred,26460.0,14950.0,11510.0,0.0,11510.0,,,,,,,,,
365,91900143.0,208540,10,1,,Transporter6,Vehicle9,Transferred,29740.0,14340.0,15400.0,0.0,15400.0,,,,,,,,,
367,91900143.0,209130,10,1,,Transporter7,Vehicle10,Transferred,40260.0,15740.0,12520.0,325.0,12195.0,,,,,,,,,
367,91900143.0,209130,10,2,,Transporter7,Vehicle10,Transferred,40260.0,15740.0,2863.0,32.0,2831.0,,,,,,,,,
375,91900302.0,209130,20,3,,Transporter7,Vehicle10,Transferred,40260.0,15740.0,3700.0,0.0,3700.0,,,,,,,,,
388,91900330.0,209130,30,4,,Transporter7,Vehicle10,Transferred,40260.0,15740.0,5437.0,0.0,5437.0,,,,,,,,,
367,91900143.0,208547,10,1,,Transporter5,Vehicle11,Transferred,28880.0,16600.0,4200.0,96.0,4104.0,,,,,,,,,
375,91900302.0,208547,20,2,,Transporter5,Vehicle11,Transferred,28880.0,16600.0,5080.0,280.0,4800.0,,,,,,,,,
375,91900302.0,208547,20,3,,Transporter5,Vehicle11,Transferred,28880.0,16600.0,3000.0,48.0,2952.0,,,,,,,,,
367,91900143.0,208541,10,1,,Transporter6,Vehicle9,Transferred,33960.0,14320.0,19640.0,0.0,19640.0,,,,,,,,,
375,91900302.0,208551,20,1,,Transporter6,Vehicle12,Transferred,36400.0,15980.0,20420.0,0.0,20420.0,,,,,,,,,
367,91900143.0,208537,10,1,,Transporter6,Vehicle13,Transferred,34840.0,15760.0,3450.0,60.0,3390.0,,,,,,,,,
366,91900160.0,208537,20,2,,Transporter6,Vehicle13,Transferred,34840.0,15760.0,15630.0,140.0,15490.0,,,,,,,,,
