rm_id,product_id,purchase_order_id,purchase_order_item_no,receival_item_no,batch_id,date_arrival,receival_status,net_weight,supplier_id
365,91900143.0,208545,10,1,,2004-06-15 13:34:00 +02:00,Completed,11420.0,52062
365,91900143.0,208545,10,2,,2004-06-15 13:34:00 +02:00,Completed,13760.0,52062
365,91900143.0,208490,10,1,,2004-06-15 13:38:00 +02:00,Completed,11281.0,50468
365,91900143.0,208490,10,2,,2004-06-15 13:38:00 +02:00,Completed,13083.0,50468
379,91900296.0,210435,20,1,,2004-06-15 13:40:00 +02:00,Completed,23910.0,52577
389,91900330.0,208535,30,1,,2004-06-15 13:43:00 +02:00,Completed,8680.0,55251
365,91900143.0,208532,10,1,,2004-06-15 13:46:00 +02:00,Completed,14840.0,20023
369,91900146.0,208532,30,2,,2004-06-15 13:46:00 +02:00,Completed,6745.0,20023
366,91900160.0,208532,20,3,,2004-06-15 13:46:00 +02:00,Completed,3015.0,20023
365,91900143.0,208537,10,1,,2004-06-16 08:26:00 +02:00,Completed,25060.0,50387
367,91900143.0,208547,10,1,,2004-06-16 12:11:00 +02:00,Completed,22100.0,54748
367,91900143.0,208532,10,1,,2004-06-16 12:18:00 +02:00,Completed,16200.0,20023
367,91900143.0,208541,10,1,,2004-06-16 12:21:00 +02:00,Completed,11510.0,52036
365,91900143.0,208540,10,1,,2004-06-16 12:32:00 +02:00,Completed,15400.0,50430
367,91900143.0,209130,10,1,,2004-06-16 12:46:00 +02:00,Completed,12195.0,50363
367,91900143.0,209130,10,2,,2004-06-16 12:46:00 +02:00,Completed,2831.0,50363
375,91900302.0,209130,20,3,,2004-06-16 12:46:00 +02:00,Completed,3700.0,50363
388,91900330.0,209130,30,4,,2004-06-16 12:46:00 +02:00,Completed,5437.0,50363
367,91900143.0,208547,10,1,,2004-06-16 13:01:00 +02:00,Completed,4104.0,54748
375,91900302.0,208547,20,2,,2004-06-16 13:01:00 +02:00,Completed,4800.0,54748
375,91900302.0,208547,20,3,,2004-06-16 13:01:00 +02:00,Completed,2952.0,54748
